title,link,date,content,is_fake
Penjelasan KIP Pidie soal Video Pencoblosan Surat Suara di Luar TPS,https://www.kompas.com/cekfakta/read/2024/11/28/200200482/-klarifikasi-penjelasan-kip-pidie-soal-video-pencoblosan-surat-suara-di,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Di media sosial beredar video seorang perempuan mencoblos beberapa surat suara di luar tempat pemungutan suara (TPS) saat Pilkada 2024, Rabu (27/11/2024).Peristiwa itu diklaim terjadi di Desa Pulo Siblah, Kecamatan Tiro, Pidie, Aceh.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, informasi tersebut perlu diluruskan informasinya.Video yang menampilkan seorang perempuan mencoblos surat suara di luar TPS muncul di media sosial, salah satunya dibagikan oleh akun Facebook ini, ini, dan TikTok ini. Dalam video tampak seorang perempuan menggunakan baju dengan logo Komisi Pemilihan Umum (KPU) sedang mencoblos surat suara di atas jok motor.Salah satu akun menuliskan keterangan:Surat undangan lebih di coblos untuk Paslon 02 oleh PPS Gampong Pulo Siblah Tiro, Kec. Tiro, Kab Pidie.Setelah ditelusuri, video tersebut identik dengan tangkapan layar yang ada di laman Acehterkini.id. Dalam pemberitaan disebutkan bahwa lokasi kejadian memang berada di Kecamatan Tiro, Kabupaten Pidie, Aceh.Perempuan tersebut mencoblos surat suara untuk Pemilihan Gubernur Aceh dan Pemilihan Bupati Pidie.Dalam video terdengar suara lelaki dalam bahasa Aceh mengatakan bahwa ada seorang yang sakit sehingga tidak bisa mencoblos.Ketika dikonfirmasi. Komisioner Komisi Independen Pemilihan (KIP) Kabupaten Pidie, Edi Kurniawan menjelaskan surat suara itu dibawa ke tempat salah satu warga yang sedang sakit dan tidak bisa datang mencoblos. “Di Tiro, tadi ada laporan dari Panitia Pemilihan Kecamatan (PPK) itu (surat suara) dibawa ke orang sakit sebenarnya,” kata Edi, Rabu (27/11/2024).Menurut Edi pencoblosan oleh petugas atas seizin pemilik suara yang sedang sakit. Kendati begitu ia tidak menerima laporan pasti terkait jumlah warga yang sakit tersebut.“Menurut anggota PPK, sudah disuruh oleh orang sakit tersebut untuk mencoblos yang mana. Tidak dijelaskan berapa orang pemilik hak suara yang sakit,” kata Edi. Video yang menampilkan beberapa surat surat suara di di Desa Pulo Siblah, Kecamatan Tiro, Pidie, Aceh dicoblos di luar TPS perlu diluruskan.Komisioner KIP Kabupaten Pidie, Edi Kurniawan menjelaskan, surat suara itu dibawa ke tempat salah satu warga yang sedang sakit. Pencoblosan dilakukan oleh petugas atas seizin pemilik suara yang sedang sakit. ",0
"Penjelasan Bawaslu soal Surat Suara Sudah Tercoblos di Tingkulu, Manado",https://www.kompas.com/cekfakta/read/2024/11/28/174200382/-klarifikasi-penjelasan-bawaslu-soal-surat-suara-sudah-tercoblos-di,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Beredar narasi soal temuan surat suara sudah tercoblos di Tempat Pemungutan Suara (TPS) 9 Kelurahan Tingkulu, Kecamatan Wanea, Kota Manado, Provinsi Sulawesi Utara.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi tersebut perlu diluruskan.Narasi temuan surat suara sudah tercoblos di TPS 9 Tingkulu, Wanea, Manado, dibagikan oleh akun Facebook ini pada Rabu (27/11/2024).Akun itu membagikan tangkapan layar unggahan Facebook yang memuat foto kertas suara pemilihan Gubernur dan Wakil Gubernur Sulut sudah tercoblos.Berikut narasi foto tersebut:Oknum"" mulai beraksi. Surat suara yg belum di coblos setelah di buka sudah di coblos, entah oknum siapa yg melakukan. TKP TPS 9 kelurahan tingkulu lingkungan 8Screenshot Temuan surat suara sudah tercoblos di TPS 9 Tingkulu, Wanea, Manado, pada 27 November 2024Dilansir Tempo, Ketua Badan Pengawas Pemilu (Bawaslu) Sulut Ardiles Mewoh membenarkan adanya temuan kertas suara pemilihan gubernur dan wakil gubernur yang sudah tercoblos di TPS 9 Tingkulu, Wanea, Manado.Menurut Ardiles, petugas di TPS tersebut telah menangani dan melaporkan temuan itu kepada Bawaslu Sulut.""Iya benar ada kejadian itu di TPS 9 Tingkulu dan telah ditangani. Surat suara yang sudah tercoblos itu dinyatakan rusak dan langsung diganti dengan surat suara yang baru,"" kata Ardiles.Ardiles mengatakan, sesuai peraturan, surat suara yang telah tercoblos sebelum digunakan akan dikategorikan sebagai rusak.Hingga Rabu (27/11/2024), kata Ardiles, selain di TPS 9 Tingkulu, belum ada laporan kasus serupa dari TPS lainnya di Sulut.Narasi temuan surat suara pemilihan gubernur dan wakil gubernur sudah tercoblos di TPS 9 Tingkulu, Wanea, Manado, Sulut, perlu diluruskan.Bawaslu Sulut menyatakan, surat suara yang sudah tercoblos tersebut dinyatakan rusak dan diganti dengan yang baru.",0
Polisi Bantah Motif Pembacokan di Sampang Terkait Pilkada,https://www.kompas.com/cekfakta/read/2024/11/28/163600882/-klarifikasi-polisi-bantah-motif-pembacokan-di-sampang-terkait-pilkada,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Beredar video aksi pengeroyokan dan pembacokan di Kabupaten Sampang, Madura, Jawa Timur yang diduga dilatarbelakangi oleh Pemilihan Kepala Daerah (Pilkada) 2024.Narasi yang beredar menyebutkan, pendukung pasangan calon bupati dan wakil bupati nomor urut 1 KH Mohammad bin Muafi-Abdullah Hidayat membunuh pendukung paslon nomor urut 2 Slamet Junaidi-Ahmad Mahfudz.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi itu keliru dan perlu diluruskan.Video carok di Sampang dikaitkan dengan Pilkada 2024 disebarkan oleh akun Facebook ini, ini, ini, dan ini.Berikut narasi yang ditulis salah satu akun pada 18 November 2024:Carok pilkada sampang 2024 pendukungpaslo 01 bunuh pendukung paslon no 2akun Facebook Tangkapan layar konten dengan konteks keliru di sebuah akun Facebook, Senin, 18 November 2024, mengenai pemukulan dan pembacokan di Desa Ketapang Laok, Ketapang, Sampang, Madura. Direktur Ditreskrimum Polda Jatim Kombes Pol Farman membantah motif pembacokan di Desa Ketapang Laok, Ketapang, Sampang dilatarbelakangi oleh Pilkada 2024.Ia menjelaskan, terjadi kesalahpahaman dan hasutan kabar bohong mengenai pemukulan terhadap seorang kiai bernama Hamduddin pada Minggu, 17 November 2024.Dilansir Tribunnews, kesalahpahaman bermula dari kunjungan cabup nomor urut 2 Slamet Junaidi ke pondok pesantren yang diasuh salah satu tokoh masyarakat di desa tersebut, yakni Kiai Mualif.Namun, kunjungan mendadak ini dinilai 'melangkahi' karena tidak izin dengan Kiai Hamduddin, selaku tokoh yang lebih tua.Terjadi cekcok, hingga kubu Kiai Hamduddin melakukan blokade jalan.Dari cekcok ini beredar isu terjadi pemukulan terhadap Kiai Hamduddin, sehingga membuat kubu mereka geram.Percekcokan antara keduanya berusaha dilerai oleh pengasuh pesantren, yakni Muhtar dan Jimmy Sugito Putra.""Tapi pada saat mereka merapat mendekati Kiai Hamduddin ada omongan-omongan mulut itu seolah-olah ada pemukulan terhadap Kiai Hamduddin makanya mereka spontan bereaksi melakukan pengejaran terhadap kelompok Jimmy korban,"" kata Firman.Massa yang terlanjur marah dan termakan informasi simpang-siur justru menyerang Jimmy.",0
Surat Suara Sudah Tercoblos di NTB Tidak Hanya dari Paslon Tertentu,https://www.kompas.com/cekfakta/read/2024/11/28/122100682/-klarifikasi-surat-suara-sudah-tercoblos-di-ntb-tidak-hanya-dari-paslon,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Surat suara di TPS 06 Desa Juran Alas, Kecamatan Alas, Kabupaten Sumbawa, Nusa Tenggara Barat (NTB) ditemukan telah tercoblos sebelum proses pemilihan Pilkada 2024 dilakukan.Narasi yang beredar menyebutkan, dugaan kecurangan tersebut dilakukan oleh pasangan calon gubernur dan wakil gubernur nomor urut 3, Lalu Muhamad Iqbal - Indah Damayanti Putri.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi tersebut sebagian benar, sehingga perlu diluruskan.Surat suara yang tercoblos di NTB dari paslon nomor urut 3 disebarkan oleh akun Facebook ini, ini, ini, dan ini.Berikut narasi yang ditulis salah satu akun pada Rabu (27/11/2024):Main Kasar tim Cagub NTB no 3, Puluhan Surat suara dicoblos duluan. Lokasi TPS 6 Desa Juranalas, Kec Alas, Kab Sumbawa, NTB.Mohon diusut tuntas kasus ini Bawaslu...Pengunggah menyertakan video warga yang melaporkan adanya dugaan kecurangan.Pria dalam video merinci, surat suara yang tercoblos untuk paslon nomor urut 3 Iqbal-Dinda yakni 60 surat.Kemudian, paslon 2 Zulkieflimansyah dan Suhaili sebanyak 2 surat dan satu surat batal.Di TPS yang sama, ada 59 surat suara yang sudah tercoblos untuk paslon bupati dan wakil bupati nomor urut 2 Syarafuddin Jarot dan Mohammad Ansori.akun Facebook Tangkapan layar narasi sebagian benar di sebuah akun Facebook, Rabu (27/11/2024), mengenai surat suara yang tercoblos sebelum pemilihan di TPS 06 Desa Juran Alas, Kecamatan Alas, Kabupaten Sumbawa pada Pilkada NTB 2024.Bawaslu Kabupaten Sumbawa membenarkan adanya temuan surat suara yang tercoblos di TPS 06 Juran Alas, Kecamatan Alas.“Benar. Sudah kami konfirmasi ke Panwascam Alas, memang benar ada kejadian itu,” kata Koordinator Divisi Penanganan Pelanggaran Data dan Informasi Bawaslu Sumbawa, Jusriadi dikutip dari Kompas.com, Rabu (27/11/2024).Kendati demikian, surat suara yang tercoblos tidak hanya dari paslon nomor urut 3.Jusriadi mengatakan, ada 62 surat suara pemilihan gubernur NTB yang telah dicoblos sebelum proses pemilihan di TPS 06 Juran Alas.Sebanyak 60 suara untuk paslon nomor urut 3 Iqbal-Dinda, dan 2 suara untuk paslon nomor urut 1 Rohmi-Firin, dan 1 suara batal.",0
Belum Ada Bukti Organisasi Terlarang Ambil Alih Tugas Polisi,https://www.kompas.com/cekfakta/read/2024/11/28/094400482/-klarifikasi-belum-ada-bukti-organisasi-terlarang-ambil-alih-tugas,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Beredar narasi yang mengeklaim organisasi terlarang mengambil alih tugas dan fungsi Satuan Polisi Pamong Praja (Satpol PP) dan polisi.Narasi tersebut disertai pakta integritas antara calon gubernur dan wakil gubernur Ridwan Kamil-Suswono bersama Front Persaudaraan Islam (FPI).Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi tersebut belum terbukti.Informasi yang mengeklaim organisasi terlarang akan mengambil alih tugas Satpol PP dan polisi disebarkan oleh akun Facebook ini dan X ini.Berikut narasi yang ditulis pada Selasa (26/11/2024):JAKARTA AKAN JADI KOTA BERSYARIAH BERSAMA RIDWAN KAMIL - SUSWONO DAN ORGANISASI TERLARANG YANG BISA MERAZIA SERTA MEMBUBARKAN KEGIATAN WARGA SECARA TIBA-TIBA!Ada yang mau?Organisasi Terlarang mengambil alih tugas dan fungsi Satpol PP dan Polisi yang resmi institusi negara.Ada negara dalam negara.Bisa rusak tatanan negara bila ORGANISASI TERLARANG dibiarkan tumbuh subur oleh Ridwan Kamil - Suswono!Gue, sih, ogah banget!akun Facebook Tangkapan layar konten yang belum terbukti kebenarannya di sebuah akun Facebook, Selasa (26/11/2024). Narasinya mengeklaim Front Persaudaraan Islam dan Ridwan Kamil-Suswono menandatangani pakta integritas mengenai pengambilalihan tugas polisi.Front Persaudaraan Islam Jakarta memang memberikan dukungannya kepada Ridwan Kamil-Suswono pada Pilkada Jakarta 2024.Seperti diwartakan oleh CNN Indonesia, Ketua DPP Advokat Persaudaraan Islam Aziz Yanuar membenarkan surat keputusan dukungan hasil musyawarah internal DPD FPI Jakarta.Kendati demikian, sejauh ini belum ada bukti yang menunjukkan keaslian pakta integritas yang beredar di media sosial.Pengunggah menyertakan tautan berita Pikiran Rakyat Jawa Barat, berisi 17 poin pakta integritas FPI bersama Ridwan Kamil-Suswono.Namun, tidak tercantum bahwa FPI akan mengambil alih tugas dan fungsi Satpol PP dan Polisi.Sebagai konteks, Front Persaudaraan Islam merupakan organisasi masyarakat baru yang beranggotakan bekas simpatisan dari Front Pembela Islam yang sebelumnya telah dibubarkan oleh pemerintah.",0
Tidak Terbukti Pemilih di Bali Dihalangi karena Pilih Paslon Tertentu,https://www.kompas.com/cekfakta/read/2024/11/28/083900182/-klarifikasi-tidak-terbukti-pemilih-di-bali-dihalangi-karena-pilih,2024-11-28,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Beredar video yang diklaim menunjukkan adanya upaya intimidasi terhadap petugas KPPS di salah satu tempat pemungutan suara (TPS) di BaliCalon pemilih juga disebut dihalang-halangi saat akan memilih pasangan calon gubernur dan wakil gubernur Bali nomor urut 2, Wayan Koster-Nyoman Giri Prasta.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, video tersebut perlu diluruskan.Video yang diklaim menunjukkan intimidasi terhadap petugas KPPS di Bali dan calon pemilih dihalang-halangi saat akan memilih paslon Koster-Giri dibagikan oleh akun TikTok ini pada Rabu (27/11/2024).Berikut narasi yang dibagikan:Lagi dan lagi... Ditemukan adanya upaya intimidasi terhadap KPPS yang dilakukan oleh oknum-oknum tertentu dan menghalang-halangi calon pemilih untuk memilih paslon Koster GiriScreenshot Klarifikasi, calon pemilih di Bali dihalang-halangi saat akan memilih paslon Koster-GiriDikutip dari BaleBengong, peristiwa dalam video dibenarkan oleh Nyoman Sueca, salah satu panitia pemilihan di wilayah Karangasem. BaleBengong merupakan media di Bali yang juga tergabung dalam Kolaborasi Cek Fakta dalam Pilkada 2024.Adapun peristiwa dalam video terjadi di tempat pemungutan suara (TPS) di daerah Tianyar.""Belum tahu kepastiannya bagaimana, tapi dari info yang beredar pemilihnya tidak bawa C6, terus pemilihnya ngotot mau nyoblos, tapi enggak dikasih sama KPPS-nya. Makanya pemilihnya itu ngamuk,"" kata Sueca.Badan Pengawas Pemilu (Bawaslu) Bali juga membenarkan adanya kejadian tersebut.Anggota Bawaslu Bali Wayan Wirka mengatakan, insiden tersebut telah diselesaikan dan proses pemilihan tetap dilanjutkan.""Sudah diselesaikan, proses pemilihan tetap dilanjutkan,"" kata Wirka.Intimidasi ke petugas KPPS disebut benar, tetapi belum dapat dipastikan apakah calon pemilih dihalang-halangi saat akan memilih paslon Koster-Giri.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, video yang diklaim menunjukkan calon pemilih di Bali dihalang-halangi saat akan memilih paslon Koster-Giri perlu diluruskan.Memang benar terjadi intimidasi ke petugas KPPS di daerah Tianyar, tetapi belum dapat dipastikan apakah calon pemilih dihalang-halangi saat akan memilih paslon Koster-Giri.Bawaslu menyatakan, insiden itu terjadi karena pemilih tidak membawa formulir C6.",0
KPU Rokan Hilir Bantah Ada Kartu Sembako Murah di Surat Undangan Pemilih,https://www.kompas.com/cekfakta/read/2024/11/27/122925882/klarifikasi-kpu-rokan-hilir-bantah-ada-kartu-sembako-murah-di-surat,2024-11-27,"KOMPAS.com - Beredar foto undangan pemilih atau lembar Model C Pemberitahuan dari Komisi Pemilihan Umum (KPU) Kabupaten Rokan Hilir, Provinsi Riau.Undangan pemilih tersebut disertai kartu sembako murah dari pasangan calon bupati dan wakil bupati Afrizal Sintong-Setiawan.Akan tetapi, informasi dalam unggahan itu perlu diluruskan karena keliru.Foto undangan pemilih disertai kartu sembako murah, disebarkan oleh akun Facebook ini, ini, ini, dan ini.Berikut narasi yang ditulis salah satu akun pada Sabtu (23/11/2024):Kepada masyarakat yg kami hormati jika ada kejanggalan pada surat undangan anda mohon tanggapi ingat nasib negri ini ada di tangan kita...jgn tergoda akan janji2 penguasa..kepada yth BAWASLU kab Rokan hilir...kami berharap sikap tegas anda ttg prihal ini..demokrasi jgn sampai di kangkangi nilai norma juga etika. masyarakat jgn di tipu daya oleh kepentingan sesaat...kawal demokrasi ini dgn hatiakun Facebook Tangkapan layar konten dengan konteks keliru di sebuah akun Facebook, Sabtu (23/11/2024), mengenai kartu sembako murah di lembar Model C Pemberitahuan KPU Rokan Hillir.Badan Pengawas Pemilu (Bawaslu) telah mengusut temuan undangan pemilih disertai kartu sembako murah di Rokan Hilir.Dilansir Sabang Merauke News, KPU Rokan hilir membantah petugasnya menyertakan kartu sembako murah pada undangan pemilih.Petugas KPPS dari TPS 01 bernama Deti Hartati dan Fitri Susanti bertugas mengantarkan lembar Model C Pemberitahuan kepada pemilih bernama Wan Azid Ridwan dan Nadia pukul 11.50 WIB.Ketua KPU Rohil Eka Murlan mengatakan, petugas KPPS tidak menyerahkan kartu apa pun selain lembar Model C Pemberitahuan.Wan Azid Ridwan dan Nadia juga membenarkan bahwa kartu tersebut tidak diberikan oleh petugas KPPS.Faktanya, pemilih sendiri yang memotret lembar Model C Pemberitahuan bersama kartu sembako murah.""Kami mohon maaf atas kejadian ini, dan kami sudah ingatkan petugas agar dalam menjalankan tahapan kegiatan penyelenggaraan mempedomani ketentuan dan diminta berkoordinasi selalu dengan PTPS, begitu juga PKS dan Panwascam,"" kata Eka, dilansir Gagasan Riau, Sabtu (23/11/2024).Unggahan yang menyebut petugas KPU Rokan Hilir menyertakan kartu sembako murah pada undangan pemilih perlu diluruskan informasinya.Pihak KPU Rokan Hilir membantah petugas KPPS menyerahkan kartu sembako murah terkait salah satu calon. KPU menyatakan, pemilih sendri yang memotret Model C Pemberitahuan bersama kartu sembako murah.",0
"Ridwan Kamil Gunakan Hak Pilihnya di Bandung, Suswono di Bogor",https://www.kompas.com/cekfakta/read/2024/11/27/110939182/klarifikasi-ridwan-kamil-gunakan-hak-pilihnya-di-bandung-suswono-di,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Di media sosial beredar unggahan yang menyebut pasangan Calon Gubernur -Wakil Gubernur Jakarta nomor urut 1 Ridwan Kamil dan Suswono bukan orang ber-KTP Jakarta.Dengan demikian, keduanya tidak bisa menyalurkan hak pilihnya untuk Pilkada Jakarta 2024.Ridwan Kamil disebut akan menyalurkan hak suara di Bandung, Jawa Barat. Sementara, Suswono diklaim akan mencoblos di Tegal, Jawa Tengah. Berdasarkan penelusuran Kompas.com, informasi tersebut perlu diluruskan.Narasi yang mengeklaim Ridwan Kamil dan Suswono bukan orang ber-KTP Jakarta salah satunya dibagikan oleh akun X ini.Akun tersebut menuliskan keterangan demikian:Cagub dan cawagub ini bukan orang-orang ber-KTP Jakarta.RK ber-KTP Bandung, Jawa Barat, Suswono ber-KTP Tegal, Jawa Tengah#TumbangkanRidwanKamil#TumbangkanRidwanKamilAkun X Tangkapan layar X, narasi yang menyebut Ridwan Kamil dan Suswono menyalurkan hak pilihnya di Jawa Barat serta Jawa Tengah. Ridwan Kamil dan Suswono memang belum memiliki KTP Jakarta. Sehingga, keduanya tidak bisa menyalurkan hak pilihnya untuk Pilkada Jakarta 2024.Diberitakan Kompas.com, Ridwan Kamil menggunakan hak pilihnya di TPS 23, Jalan Rancabulan II, Ciumbuleuit, Kecamatan Cidadap, Kota Bandung, Jawa Barat.Ia akan memlih calon gubernur dan calon wakil gubernur Jawa Barat dan calon wali kota - calon wakil wali kota Bandung.  Sementara, Suswono akan menggunakan hak suaranya di TPS 07, Kelurahan Kedung Waringin, Kecamatan Tanah Sareal, Kota Bogor, Jawa Barat.Suswono akan  menyalurkan suaranya untuk Pilkada Jawa Barat dan Pilkada Kota Bogor. Suswono tidak memilih untuk Pilkada Jawa Tengah seperti dalam unggahan yang beredar. Meski lahir di Tegal, namun saat ini ia ber-KTP Kota Bogor. Narasi yang mengeklaim Ridwan Kamil akan menyalurkan hak pilihnya di Jawa Barat dan Suswono di Jawa Tengah perlu diluruskan. Ridwan Kamil memang menyalurkan hak pilihnya di Kota Bandung. Namun Suswono menggunakan hak pilihnya di Kota Bogor, bukan di Tegal.A post shared by Cek Fakta Kompascom (@cekfakta.kompascom)",0
Imbauan MUI Tidak Hanya untuk Calon Pemimpin yang Dukung Politik Dinasti,https://www.kompas.com/cekfakta/read/2024/11/27/101554982/klarifikasi-imbauan-mui-tidak-hanya-untuk-calon-pemimpin-yang-dukung,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Majelis Ulama Indonesia (MUI) disebut mengimbau umat Islam agar tidak memilih calon kepala daerah pendukung politik dinasti.Narasi itu beredar dalam bentuk video dan disebarkan oleh sejumlah akun Facebook.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi tersebut perlu diluruskan karena konteksnya tidak lengkap.Narasi MUI mengimbau umat Islam agar tidak memilih calon kepala daerah pendukung politik dinasti dibagikan oleh akun Facebook ini, ini, dan ini.Narasi tersebut disebarkan menjelang pemungutan suara Pemilihan Kepala Daerah (Pilkada) pada Rabu (27/11/2024).Berikut narasi yang dibagikan:AKHIRNYA Keluar juga FATWA...MUI..Himbauan untuk UMMAT ISLAM INDONESIA...Harap ikuti FATWA MUI..Jangan Coblos..Cagub...atau Cabup yg di dukung Oligarki. .demikian pemberitahuan dr MUI...terima kasihDalam video itu, narator mengatakan sebagai berikut:Yang pasti Ketua MUI ini menyarankan, mengimbau umat Islam untuk tidak pilih pemimpin yang mendukung dinasti politik. Tidak pilih pemimpin pendukung politik dinasti.Lalu, narator menyebutkan sejumlah nama yang menurutnya dimaksud oleh MUI, termasuk calon gubernur Sumatera Utara, Bobby Nasution, dan calon gubernur Jakarta, Ridwan Kamil.Screenshot Klarifikasi, imbauan MUI agar umat Islam tidak memilih calon pemimpin yang mendukung politik dinastiMUI memang mengeluarkan imbauan kepada umat Islam untuk menggunakan hak pilihnya pada Pilkada 2024 dan memilih pemimpin dengan kriteria terbaik. Ketua Umum MUI KH Anwar Iskandar mengingatkan umat Islam bahwa memilih pemimpin hukumnya wajib. ""Memilih pemimpin dalam Islam adalah kewajiban untuk menegakkan kepemimpinan dan pemerintahan dalam rangka menjaga keberlangsungan agama dan kehidupan bersama,"" kata Anwar, dikutip dari laman resmi MUI, 22 November 2024.Umat Islam diimbau memilih berdasarkan keimanan, kejujuran, amanah, kompetensi, dan integritas, yang dimiliki calon kepala daerah.Kemudian, calon pemimpin harus bebas dari suap, politik uang, kecurangan, korupsi, oligarki, dinasti politik, dan hal-hal yang terlarang secara syariah.",0
Prabowo Belum Menyatakan Sekolah Libur Selama Ramadhan,https://www.kompas.com/cekfakta/read/2024/11/27/094200982/-klarifikasi-prabowo-belum-menyatakan-sekolah-libur-selama-ramadhan,2024-11-27,"Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini.KOMPAS.com - Beredar narasi yang mengeklaim Presiden Prabowo Subianto akan memberlakukan libur sekolah selama satu bulan penuh pada bulan Ramadhan mendatang.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi tersebut perlu diluruskan karena informasinya simpang siru.Narasi yang mengeklaim Prabowo akan meliburkan sekolah satu bulan penuh pada bulan Ramadhan dibagikan oleh akun Facebook ini pada Minggu (24/11/2024).Akun itu membagikan gambar yang memuat teks sebagai berikut:Presiden Prabowo Subianto Memberi himbauan kepada guru sekolah dibulan puasa libur45hari sampai sawal Ini baru president kita yg sesunggu nya bulan sakral umat islam dihormati dengan meliburkan kegitan sekolah biar kita beribadah dgn tenangScreenshot Konteks keliru, libur sekolah selama bulan Ramadan diusulkan Prabowo-Sandi pada Pilpres 2019Setelah ditelusuri, wacana sekolah libur selama Ramadhan disuarakan pada Pilpres 2019 oleh pasangan calon presiden dan wakil presiden, Prabowo Subianto-Sandiaga Uno.Seperti yang sudah diberitakan Kompas.com, Sandiaga Uno mengatakan, dia dan Prabowo akan menerapkan libur sekolah selama satu bulan penuh selama Ramadhan jika terpilih pada Pilpres 2019.Wacana tersebut disampaikan Sandiaga saat rapat konsolidasi juru kampanye nasional di Hotel Sultan, Jakarta, pada 15 Maret 2019.Sandiaga berharap, dengan adanya kebijakan tersebut, para siswa dapat menggunakan waktu libur untuk mengikuti pesantren kilat dan mendalami ilmu agama.""Saya waktu masih muda pernah merasakan libur, dulu, saat Ramadhan dan waktu anak-anak saya masih kecil, sekolah di Al-Azhar, waktu itu juga libur sebulan penuh,"" kata dia.Sementara itu, usai memenangkan Pilpres 2024 dan dilantik sebagai presiden, belum ada pernyataan dari Prabowo terkait sekolah akan diliburkan selama bulan Ramadan.Adapun pemerintah telah resmi menetapkan tanggal merah dan cuti bersama 2025, termasuk hari libur Idul Fitri 1446 Hijriah atau Lebaran 2025.Penetapan tersebut tercantum dalam Surat Keputusan Bersama (SKB) 3 Menteri Nomor 1017, 2, dan 2 Tahun 2024 tentang Hari Libur Nasional dan Cuti Bersama Tahun 2025.Sebagaimana diberitakan Kompas.com, pemerintah dalam SKB 3 Menteri menetapkan hari raya Idul Fitri 1446 H pada Senin, (31/3/2025) dan Selasa (1/4/2025).Selanjutnya, pemerintah memberikan cuti bersama dalam rangka Lebaran, pada Rabu (2/4/2025), Kamis (3/4/2025), Jumat (4/4/2025), dan Senin (7/4/2025).Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi yang mengeklaim Prabowo akan meliburkan sekolah satu bulan penuh pada bulan Ramadhan perlu diluruskan.Wacana tersebut pernah disuarakan saat Prabowo maju sebagai capres pada Pilpres 2019 bersama Sandiaga Uno sebagai cawapres.Namun, usai memenangkan Pilpres 2024 dan dilantik sebagai presiden, belum ada pernyataan dari Prabowo terkait sekolah akan diliburkan selama bulan Ramadan.",0
